what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1556071834177
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1556071834177
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1556071834177
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1556071834177
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1556071834177
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1556071834177
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1556071834178
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1556071834178
os,sysinfo,,,"win32",1556071834180
arch,sysinfo,,,"x86",1556071834180
ws,sysinfo,,,"win32",1556071834180
locale,sysinfo,,,"zh_CN",1556071834180
processors,sysinfo,,,"4",1556071834180
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1556071834180
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1556071834180
java.specification.name,sysinfo,,,"Java Platform API Specification",1556071834180
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1556071834180
java.specification.version,sysinfo,,,"1.6",1556071834180
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1556071834180
java.version,sysinfo,,,"1.6.0_23",1556071834180
java.vm.info,sysinfo,,,"mixed mode",1556071834180
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1556071834180
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1556071834180
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1556071834180
java.vm.specification.version,sysinfo,,,"1.0",1556071834180
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1556071834180
java.vm.version,sysinfo,,,"19.0-b09",1556071834180
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1556071851653
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1556071851696
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1556071875368
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1556071875369
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1556071875377
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1556071896500
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1556071896544
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1556071936671
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1556071936718
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1556071947887
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1556071947887
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1556071948703
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1556071948703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556071956550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556071957907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556071958638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556071970711
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1556071971613
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1556071972121
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1556071972680
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1556071972714
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1556071972716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556071974032
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1556071974100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556071975718
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1556071981252
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1556071981253
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1556071982329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556071982444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556071982477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556071983748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556071987010
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1556071987032
opened,view,com.altera.sbtgui.launch,,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1556071989374
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1556071989708
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1556071989714
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1556071989715
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1556071989716
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1556071989720
activated,view,com.altera.sbtgui.launch,,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1556071998010
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1556071998612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556072030037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556072030863
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556072030979
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1556072031157
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1556072031158
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1556072031158
stopped,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1556072031158
stopped,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1556072031159
stopped,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1556072031159
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1556072031159
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1556072031159
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1556072031159
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1556072031159
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1556072031159
stopped,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1556072031159
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1556072031159
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1556072031160
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1556072031160
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1556072031160
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1556072031161
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1556072031162
